Production Type,2015 (MW),2016 (MW),2017 (MW),2018 (MW),2019 (MW),2020 (MW),2021 (MW),2022 (MW)
Biomass,0,170,170,1840,1931.0,1578,1579,2239.0
Fossil Brown coal/Lignite,0,0,0,0,0.0,0,0,0.0
Fossil Coal-derived gas,0,0,0,0,0.0,0,0,0.0
Fossil Gas,6121,6121,6696,11812,11952.0,12238,12218,12239.0
Fossil Hard coal,4810,2930,2930,3972,3966.0,2977,2977,1816.0
Fossil Oil,6670,6670,5300,6263,3271.0,2874,2746,2464.0
Fossil Oil shale,0,0,0,0,0.0,0,0,0.0
Fossil Peat,0,0,0,0,0.0,0,0,0.0
Geothermal,0,0,0,0,0.0,0,0,2.0
Hydro Pumped Storage,4965,4965,4965,5020,5023.0,4656,4655,5040.0
Hydro Run-of-river and poundage,10314,10326,10327,11222,10955.0,9759,9554,11423.0
Hydro Water Reservoir,8214,8204,8231,8578,8279.0,7188,6655,8785.0
Marine,240,240,240,240,240.0,246,246,243.0
Nuclear,63130,63130,63130,63130,63130.0,63130,61370,61370.0
Other,62,62,62,175,108.0,1070,1120,946.0
Other renewable,0,0,0,0,0.0,0,0,0.0
Solar,6191,6772,7660,7170,8188.0,9438,10213,14298.0
Waste,0,0,0,0,0.0,0,0,0.0
Wind Offshore,0,0,0,0,,14,10,10.0
Wind Onshore,10322,11761,13569,12518,13610.0,16578,17217,
