YEAR,2015 (MWh),2016 (MWh),2017 (MWh),2018 (MWh),2019 (MWh),2020 (MWh),2021 (MWh),2022 (MWh)
Solar,3982.123301746775,3932.4759478538085,4096.721201050348,4707.647334170568,4785.337395821441,5217.075942160993,5321.0280568558055,7587.931019808109
Wind,8924.271320927046,8806.300125241945,11707.218946226738,12370.193172736614,14193.686237013357,14799.345269270181,12924.886573809796,13778.176454658002
Nuclear,9630.41799862998,9135.86066833656,8243.4176846672,8200.514242493435,8110.280226053203,6935.604975520892,7468.809110629068,3753.665389972145
Hydro,2701.066959698596,3145.3524422179207,2840.175790615367,2955.3481276401417,2885.1053202420367,2977.864197882273,2683.472114396621,2568.5318399876196
Fossil Gas,1738.0954732275375,2605.711374245702,2920.647905011988,4893.850782052746,6234.504823610001,6730.0106171012185,5985.963723027743,5770.3017641597025
Fossil Brown coal/Lignite,15273.774688891426,14842.774991460776,14761.153641968262,14652.585569128896,11727.742265098756,9490.007799157464,11216.310651900902,11682.714794181367
Fossil Hard coal,9262.821697682384,9209.251964021405,7536.407238269208,8167.217262244549,5459.117650416714,3968.4627974496184,5920.244662632721,6933.825827917053
Biomass,3938.734587281653,4524.707673915518,4603.6685409293295,4576.467490581116,4609.819813905697,4647.475378572241,4278.4813905697,4141.9873491179205
Other,6289.123330288845,5903.10790732096,6106.536733645393,1943.1178502112114,2009.1887344445713,1572.7475805533415,1693.531025231191,1324.0536835893458
