Production Type,2016 (MWh),2017 (MWh),2018 (MWh),2019 (MWh),2020 (MWh),2021 (MWh),2022 (MWh)
Biomass,277.0162795992714,344.1465753424658,398.8055079419495,584.0649543378995,652.2207422586521,691.7570776255708,605.9889888337469
Fossil Brown coal/Lignite,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil Coal-derived gas,225.29280510018214,206.11872146118722,221.38292766540968,662.1581384015594,714.9321493624773,438.14052511415525,683.6358560794044
Fossil Gas,6954.348702185793,8214.296461187214,8511.610444520626,12969.113812785388,12420.95218579235,13325.198515981736,13696.353132754342
Fossil Hard coal,1141.3285519125684,2326.66770544783,2952.358016226717,1947.6474885844748,1405.9466074681238,1501.2656392694064,2320.0455955334987
Fossil Oil,144.27846083788708,149.88173515981734,111.37629985144555,109.6384703196347,104.29303278688525,194.6359589041096,213.77186724565757
Fossil Oil shale,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil Peat,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Geothermal,666.3693078324226,660.8997716894977,651.3737858530453,649.3122146118722,643.2964480874317,631.1473744292238,623.4984491315137
Hydro Pumped Storage,356.5632774164099,299.05017142857145,364.9854857142857,376.51645123384253,424.50853731343284,502.7480578463009,394.0195105820106
Hydro Run-of-river and poundage,3527.744990892532,3118.9770547945204,4096.686207290595,3933.755593607306,4241.280396174863,3994.922488584475,2722.491470223325
Hydro Water Reservoir,723.4396630236794,688.4583333333334,979.9120100559936,923.7711187214612,737.7810792349727,683.4354395604396,400.94308312655085
Marine,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nuclear,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other,10471.99852003643,9142.551255707762,6932.591984154725,2933.343171296296,2067.5792349726776,2007.0842465753424,2024.909429280397
Other renewable,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Solar,2024.4343123861568,2255.0358447488584,2033.3598445891898,2178.587671232877,2322.835951730419,2299.533904109589,2959.2200682382136
Waste,43.029940801457194,40.03173515981735,37.88698434464633,38.530022831050225,33.63308287795993,33.651826484018265,31.97456575682382
Wind Offshore,0.0,0.0,0.0,0.0,0.0,0.0,3.131748726655348
Wind Onshore,1949.7400956284152,1997.902283105023,1978.2769969146384,2276.224200913242,2116.055669398907,2369.0061643835616,2324.0580024813894
