Production Type,2015 (MWh),2016 (MWh),2017 (MWh),2018 (MWh),2019 (MWh),2020 (MWh),2021 (MWh),2022 (MWh)
Biomass,491.41399817017384,365.49328171259396,340.4746575342466,336.9092362141797,333.59565962307255,436.3260844813845,474.26672756337064,476.3088981689688
Fossil Brown coal/Lignite,514.749428179323,380.61072526471594,544.3035388127854,352.86117136659436,59.631981724728725,0.0,0.0,0.0
Fossil Coal-derived gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil Gas,5057.158279963403,5142.098599567346,6473.700342465753,5818.243977623017,8798.931467732724,7009.958214733007,7032.992920758164,10070.43186636685
Fossil Hard coal,5348.328339432754,3652.8536946373674,4334.129794520548,3692.4655782623586,1207.1584237578527,584.9242855516338,586.6685316282257,1026.9839372911847
Fossil Oil,330.2917429094236,286.13334092461855,294.7318493150685,282.20938463294897,247.96676185037123,209.8888762381874,150.3771408997488,110.09413352181456
Fossil Oil shale,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil Peat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Geothermal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hydro Pumped Storage,,,,,,,,
Hydro Run-of-river and poundage,873.7950594693505,1022.4594625370075,768.4148401826484,1223.51775316817,997.241233580811,1150.2613002390983,973.0524092258506,677.9545074857033
Hydro Water Reservoir,2530.990393412626,3382.785950130935,1603.434703196347,2901.1044639799065,2048.674585950885,2686.2638050779915,2756.5221511760674,1508.7633641737343
Marine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nuclear,6248.828339432754,6378.180783242258,6346.135388127854,6082.122274232218,6388.233580810966,6354.8197654559945,6187.323932404659,6566.011436648677
Other,77.96397529734675,60.28179437549812,49.26746575342466,53.43258362826807,44.16493432324386,49.125355800979165,53.638616122402375,35.68536365972758
Other renewable,69.21877859103385,80.63793692360241,94.79269406392694,97.8939376641169,98.0873786407767,100.59296367983605,100.86355332267641,95.8180533247671
Solar,1457.0053751143641,1405.851075942161,1495.1843607305937,1372.7309053544925,1647.2147344374644,2280.6498918365023,2894.9969171043617,4611.916275782304
Waste,223.13758005489478,258.2240947392394,297.6595890410959,298.73421623473,287.2802969731582,260.92918137310716,282.48881023064627,249.13054930934788
Wind Offshore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wind Onshore,5477.556152790485,5415.828646248435,5380.13299086758,5584.566617193744,5979.481096516276,6051.4952749629965,6736.307147750628,5727.079157029041
